split,filename,class_name,image_path,mean_brightness,std_contrast
train,crazing_1.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_1.jpg,160.6365,28.498493254030116
train,crazing_10.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_10.jpg,136.991575,35.71735578145974
train,crazing_100.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_100.jpg,138.4987,27.890065405265723
train,crazing_101.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_101.jpg,151.46185,24.196086348364275
train,crazing_102.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_102.jpg,97.017575,39.458046912123955
train,crazing_103.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_103.jpg,144.80145,31.918332160335385
train,crazing_104.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_104.jpg,94.367975,33.05039136529816
train,crazing_104.jpg,patches,C:\NEU-DET\train\images\crazing\crazing_104.jpg,94.367975,33.05039136529816
train,crazing_105.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_105.jpg,132.171725,22.00145757726917
train,crazing_105.jpg,inclusion,C:\NEU-DET\train\images\crazing\crazing_105.jpg,132.171725,22.00145757726917
train,crazing_106.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_106.jpg,91.28315,28.274609211755696
train,crazing_107.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_107.jpg,131.622075,23.308563827365575
train,crazing_108.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_108.jpg,125.5746,25.063646678805544
train,crazing_109.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_109.jpg,135.00905,21.85584860163293
train,crazing_11.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_11.jpg,162.49345,26.03688359035121
train,crazing_110.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_110.jpg,90.27025,30.343832403595627
train,crazing_111.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_111.jpg,89.29965,29.487659450649858
train,crazing_112.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_112.jpg,85.541325,31.24057845566204
train,crazing_112.jpg,patches,C:\NEU-DET\train\images\crazing\crazing_112.jpg,85.541325,31.24057845566204
train,crazing_113.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_113.jpg,144.515975,27.265103975583425
train,crazing_114.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_114.jpg,135.77415,25.451682494041528
train,crazing_115.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_115.jpg,136.412275,21.399101717697754
train,crazing_116.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_116.jpg,89.20995,31.045292251765
train,crazing_117.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_117.jpg,138.1832,22.73610647758318
train,crazing_118.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_118.jpg,136.58725,22.264998033628927
train,crazing_119.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_119.jpg,120.198925,28.907830320596098
train,crazing_12.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_12.jpg,165.210725,26.44919696275059
train,crazing_120.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_120.jpg,145.153225,24.623571980916477
train,crazing_121.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_121.jpg,104.735625,35.12158425896211
train,crazing_122.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_122.jpg,151.035325,24.770576843189886
train,crazing_123.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_123.jpg,95.40465,35.15077393710556
train,crazing_124.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_124.jpg,137.861075,26.74228907263503
train,crazing_125.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_125.jpg,96.998375,34.85265588673803
train,crazing_126.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_126.jpg,151.347025,28.436323578292868
train,crazing_127.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_127.jpg,121.80515,29.672158389262822
train,crazing_128.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_128.jpg,131.7829,24.685015041316056
train,crazing_129.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_129.jpg,121.9473,23.94612437765243
train,crazing_13.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_13.jpg,167.731825,27.51229192868844
train,crazing_130.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_130.jpg,137.106825,20.870704669928493
train,crazing_131.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_131.jpg,147.5658,23.90203904188929
train,crazing_132.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_132.jpg,154.141725,23.087333952285938
train,crazing_133.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_133.jpg,151.330725,24.36187381903073
train,crazing_134.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_134.jpg,152.0507,22.931574946130496
train,crazing_135.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_135.jpg,148.947275,24.622914024834163
train,crazing_136.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_136.jpg,124.020975,25.78116240686938
train,crazing_137.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_137.jpg,133.88,22.819874013675012
train,crazing_138.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_138.jpg,128.826475,28.025078306302287
train,crazing_139.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_139.jpg,130.3745,24.4198996670748
train,crazing_14.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_14.jpg,149.913675,32.85413251014817
train,crazing_140.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_140.jpg,96.716325,33.32594039925017
train,crazing_141.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_141.jpg,134.488125,21.80765482541337
train,crazing_142.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_142.jpg,107.168875,30.999756551211416
train,crazing_143.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_143.jpg,134.94915,23.809869052086363
train,crazing_144.jpg,crazing,C:\NEU-DET\train\images\crazing\crazing_144.jpg,135.6971,23.975885835355488
