epoch,train_loss,train_acc,val_loss,val_acc
1,0.9862469724271966,0.6674662668665667,1.2789521477680295,0.5245901639344263
2,0.755810894038545,0.7430284857571214,0.7251797225631651,0.7177985948477752
3,0.6143775594288083,0.8068965517241379,0.9697553108880336,0.6487119437939111
4,0.5815171356948241,0.8209895052473763,0.9202304016231653,0.6639344262295082
5,0.5248661268954871,0.8350824587706147,0.7802665854784588,0.6885245901639344
6,0.4899540175383595,0.8461769115442279,0.5744109490855795,0.8231850117096019
7,0.4342661401589235,0.8701649175412294,0.4968563830545412,0.8337236533957846
8,0.43076945359202873,0.8608695652173913,0.5002282325361596,0.870023419203747
9,0.39725547627709257,0.8677661169415293,0.46971638518139125,0.8091334894613583
10,0.39215731425085165,0.8746626686656672,0.4586519692311242,0.8348946135831382
11,0.3664587131593896,0.8761619190404798,0.5096142955246519,0.8243559718969555
12,0.35924039774391425,0.8812593703148426,0.41552713994957524,0.8583138173302107
13,0.35225670417656246,0.8803598200899551,0.4641009812925962,0.8290398126463701
14,0.3322796065879726,0.8920539730134932,0.4668486796546317,0.8220140515222483
15,0.3242867069444556,0.8908545727136432,0.5223002649965833,0.7903981264637002
16,0.3146011811325039,0.8881559220389805,0.5266028420358407,0.810304449648712
17,0.3190193766954242,0.8974512743628186,0.33389660620089157,0.8934426229508197
18,0.2738250871235016,0.9016491754122938,0.3143857832675237,0.8875878220140515
19,0.2533663088413908,0.9190404797601199,0.4997013798921393,0.7927400468384075
20,0.28095215811007385,0.9043478260869565,0.5607168821037792,0.7903981264637002
