epoch,train_loss,train_acc,val_loss,val_acc
1,0.22583338148009474,0.9265367316341829,0.06729771563741302,0.9847775175644028
2,0.07658896498951775,0.9772113943028485,0.051136520257180414,0.9871194379391101
3,0.044848699638629794,0.9871064467766117,0.04172606525998028,0.9836065573770492
4,0.029253700472319545,0.992503748125937,0.038051284764854094,0.9882903981264637
5,0.028456411852516694,0.9916041979010495,0.05114433102185007,0.9847775175644028
6,0.0428629408416658,0.9892053973013494,0.03596041551197468,0.990632318501171
7,0.02361242009754079,0.9934032983508246,0.07863545545682538,0.9754098360655737
8,0.017798281153817583,0.9949025487256372,0.038110664271632594,0.9894613583138173
9,0.029104234661901374,0.9892053973013494,0.1091200575928774,0.9519906323185011
10,0.0321108329292761,0.9889055472263868,0.08973288754244008,0.968384074941452
11,0.02179222037789525,0.9946026986506746,0.025664871962303028,0.9894613583138173
12,0.022394672875897192,0.9934032983508246,0.06679255998467391,0.9847775175644028
13,0.04301446200064991,0.9895052473763118,0.039525507916337854,0.990632318501171
14,0.036573112986401014,0.9892053973013494,0.0379465390739017,0.9918032786885246
15,0.014793139323871444,0.9955022488755623,0.0554982033927253,0.9824355971896955
16,0.036705400729677574,0.9910044977511244,0.033196903148832536,0.9929742388758782
17,0.020902214072931996,0.9934032983508246,0.035040596816529414,0.9894613583138173
18,0.009541284316184482,0.9982008995502248,0.026768897393490303,0.9929742388758782
19,0.006847132298665336,0.9973013493253373,0.03274526422343111,0.9918032786885246
20,0.014466726010636673,0.9961019490254872,0.06320432942772558,0.9836065573770492
